battle_id,attacker_faction,defender_faction,terrain,weather,att_heavy_infantry,att_spearmen,att_sword_infantry,att_archers,att_skirmishers,att_light_cavalry,att_shock_cavalry,att_artillery,def_heavy_infantry,def_spearmen,def_sword_infantry,def_archers,def_skirmishers,def_light_cavalry,def_shock_cavalry,def_artillery,att_general_rating,def_general_rating,att_avg_morale,def_avg_morale,att_fatigue,def_fortified,att_reinforcement_minute,resolution_mode,current_autoresolver_call,att_casualty_pct,def_casualty_pct,outcome
B0050,Mareth Imperium,Vharn Confederacy,hills,fog,11,2,4,0,0,0,6,4,5,5,1,8,1,0,0,0,2,2,76,80,5,0,7,auto,attacker,0.416,0.672,attacker
B0051,Duskwood Clans,Vharn Confederacy,marsh,fog,1,0,1,1,7,5,3,5,8,5,0,5,1,2,1,0,4,3,62,100,43,0,11,auto,attacker,0.728,0.313,defender
B0052,Duskwood Clans,Selene Dominion,river_crossing,clear,1,1,1,0,12,3,0,4,2,1,0,2,3,4,3,6,5,1,40,70,32,0,11,auto,attacker,0.82,0.352,defender
B0053,Sable Nomads,Kessari Riders,marsh,clear,0,1,1,6,3,11,4,0,0,1,1,2,1,7,5,4,5,4,51,53,23,0,0,auto,attacker,0.391,0.749,attacker
B0054,Sable Nomads,Mareth Imperium,hills,clear,0,3,1,2,8,11,1,0,15,1,0,1,0,2,4,2,3,4,69,68,48,0,5,auto,attacker,0.767,0.47,defender
B0055,Kessari Riders,Latian Republic,marsh,fog,5,3,1,2,0,12,1,1,6,2,2,3,1,2,1,9,1,4,77,67,32,0,21,auto,attacker,0.441,0.841,attacker
B0056,Latian Republic,Mareth Imperium,forest,clear,6,1,11,0,0,1,5,1,3,8,0,6,0,6,1,2,3,2,73,61,24,0,0,auto,attacker,0.401,0.788,attacker
B0057,Selene Dominion,Latian Republic,plains,clear,1,0,1,12,3,2,1,2,8,10,1,0,4,1,2,1,2,3,66,100,44,0,0,auto,defender,0.777,0.441,defender
B0058,Mareth Imperium,Orenthal League,plains,clear,5,5,0,2,0,1,8,0,1,3,4,0,0,11,0,2,5,1,63,80,38,1,0,manual,attacker,0.338,0.765,attacker
B0059,Orenthal League,Kessari Riders,plains,clear,9,3,8,1,0,1,1,2,1,12,1,2,1,6,1,1,3,5,56,58,15,0,0,auto,attacker,0.49,0.798,attacker
B0060,Kessari Riders,Vharn Confederacy,plains,rain,2,0,0,3,3,8,6,0,1,8,0,1,7,2,2,0,4,1,75,75,47,1,0,auto,attacker,0.581,0.423,defender
B0061,Kessari Riders,Sable Nomads,plains,clear,0,1,1,3,4,7,3,1,1,9,0,0,4,9,1,0,2,4,95,77,53,0,0,manual,defender,0.583,0.395,defender
B0062,Kessari Riders,Orenthal League,marsh,rain,7,0,0,0,3,6,5,1,2,11,0,6,1,2,2,0,5,4,87,92,42,1,0,auto,defender,0.633,0.321,defender
B0063,Sable Nomads,Duskwood Clans,marsh,clear,2,1,0,9,1,5,0,6,0,3,1,3,11,2,1,0,3,4,57,45,5,0,0,auto,attacker,0.653,0.366,defender
B0064,Kessari Riders,Selene Dominion,plains,clear,2,3,0,3,6,6,5,0,0,1,0,8,6,0,1,10,3,4,91,78,44,1,21,auto,defender,0.366,0.647,attacker
B0065,Selene Dominion,Kessari Riders,marsh,rain,0,0,3,6,5,0,0,4,1,1,0,7,4,1,5,3,5,5,71,73,27,0,0,auto,defender,0.668,0.522,defender
B0066,Selene Dominion,Sable Nomads,forest,clear,1,2,5,3,0,5,0,10,0,0,1,8,1,7,1,0,5,3,70,66,64,0,25,manual,attacker,0.443,0.774,attacker
B0067,Sable Nomads,Duskwood Clans,forest,clear,5,7,1,3,3,3,0,5,0,1,1,3,11,1,2,0,4,2,72,50,76,0,0,auto,attacker,0.4,0.664,attacker
B0068,Mareth Imperium,Latian Republic,marsh,clear,5,7,1,0,0,10,4,0,7,1,1,0,7,5,0,1,3,2,60,41,36,0,0,auto,attacker,0.388,0.696,attacker
B0069,Kessari Riders,Mareth Imperium,plains,clear,3,1,0,1,1,7,6,0,6,3,0,0,5,6,4,1,1,5,66,71,63,1,22,manual,defender,0.613,0.388,defender
B0070,Selene Dominion,Sable Nomads,hills,clear,4,0,2,2,0,0,5,8,11,1,2,1,3,5,1,0,4,5,70,65,50,0,0,auto,defender,0.786,0.462,defender
B0071,Sable Nomads,Mareth Imperium,river_crossing,clear,1,0,1,3,11,5,1,4,4,1,1,0,4,9,2,0,1,5,84,78,17,0,25,manual,attacker,0.804,0.335,defender
B0072,Sable Nomads,Duskwood Clans,hills,fog,0,1,2,5,3,2,1,6,0,2,2,12,7,1,3,4,1,3,85,77,43,1,10,auto,defender,0.789,0.441,defender
B0073,Orenthal League,Vharn Confederacy,river_crossing,fog,8,1,2,7,0,2,0,4,3,1,5,10,0,2,1,1,4,3,82,79,40,1,6,auto,attacker,0.749,0.402,defender
B0074,Sable Nomads,Selene Dominion,river_crossing,rain,0,0,0,1,7,13,4,0,2,2,7,3,0,1,0,10,3,5,65,74,36,1,0,manual,attacker,0.828,0.47,defender
B0075,Orenthal League,Kessari Riders,hills,rain,0,5,2,1,1,10,0,0,0,4,0,2,6,5,5,2,2,5,86,85,44,0,0,auto,defender,0.525,0.803,attacker
B0076,Mareth Imperium,Vharn Confederacy,plains,rain,8,1,2,3,0,0,9,2,4,2,3,7,1,2,0,0,5,2,63,56,21,1,0,manual,attacker,0.313,0.772,attacker
B0077,Sable Nomads,Selene Dominion,forest,clear,1,1,1,11,0,7,0,1,1,5,1,7,7,2,1,1,4,2,69,77,19,0,0,auto,defender,0.455,0.826,attacker
B0078,Kessari Riders,Sable Nomads,plains,clear,1,3,1,0,9,1,5,1,3,1,4,2,3,15,2,0,2,1,65,61,0,0,10,manual,defender,0.719,0.396,defender
B0079,Latian Republic,Duskwood Clans,marsh,rain,1,7,2,3,0,3,5,0,4,0,1,1,8,4,5,1,5,4,64,81,25,1,12,manual,defender,0.48,0.7,attacker
B0080,Duskwood Clans,Mareth Imperium,hills,clear,0,3,7,1,4,3,0,4,3,0,4,3,2,1,6,3,1,1,51,67,38,1,0,auto,attacker,0.694,0.357,defender
B0081,Duskwood Clans,Selene Dominion,hills,rain,2,2,2,8,1,2,0,2,1,6,2,5,0,2,1,3,5,5,65,69,42,1,0,manual,defender,0.676,0.418,defender
B0082,Duskwood Clans,Orenthal League,marsh,clear,3,2,2,1,9,2,2,0,3,0,7,0,3,0,9,0,1,5,56,45,49,1,0,manual,defender,0.751,0.401,defender
B0083,Duskwood Clans,Selene Dominion,plains,clear,0,2,2,5,5,8,0,0,3,2,0,7,1,0,1,9,1,3,44,70,24,0,0,auto,attacker,0.398,0.761,attacker
B0084,Mareth Imperium,Selene Dominion,forest,clear,3,0,4,0,0,3,8,10,4,5,0,2,0,0,1,9,1,3,67,77,46,0,0,auto,attacker,0.736,0.541,defender
B0085,Vharn Confederacy,Kessari Riders,hills,rain,3,10,4,1,1,2,1,2,1,0,0,2,1,5,11,1,3,3,47,82,15,0,12,manual,attacker,0.337,0.671,attacker
B0086,Selene Dominion,Orenthal League,forest,fog,11,1,4,0,1,2,1,5,1,1,1,2,1,3,7,11,4,1,57,57,19,0,0,auto,attacker,0.299,0.623,attacker
B0087,Duskwood Clans,Kessari Riders,forest,clear,2,0,1,7,13,0,0,1,0,0,2,0,2,5,3,10,5,1,63,75,25,0,0,auto,attacker,0.466,0.707,attacker
B0088,Sable Nomads,Latian Republic,hills,clear,2,5,1,4,10,2,0,2,8,8,2,1,0,2,2,0,3,3,41,92,30,1,6,manual,attacker,0.754,0.412,defender
B0089,Kessari Riders,Sable Nomads,marsh,clear,1,0,0,7,1,10,5,1,0,0,2,13,6,1,0,2,3,5,83,80,20,1,12,manual,attacker,0.459,0.793,attacker
B0090,Selene Dominion,Mareth Imperium,plains,rain,0,1,2,9,6,0,1,5,10,1,2,0,2,4,7,0,1,2,81,80,21,0,25,auto,attacker,0.567,0.221,defender
B0091,Duskwood Clans,Mareth Imperium,river_crossing,fog,0,2,4,6,3,1,4,2,6,0,1,0,5,3,7,0,3,3,70,54,83,0,14,manual,attacker,0.862,0.296,defender
B0092,Orenthal League,Duskwood Clans,plains,rain,2,1,4,1,8,2,3,0,1,0,2,7,3,6,5,1,2,4,40,69,0,0,0,auto,defender,0.86,0.379,defender
B0093,Vharn Confederacy,Sable Nomads,forest,clear,1,3,0,8,3,1,1,2,0,3,3,1,3,1,7,2,5,3,80,56,20,0,0,auto,attacker,0.75,0.447,defender
B0094,Mareth Imperium,Vharn Confederacy,plains,clear,2,8,0,0,6,2,2,1,6,2,2,2,6,0,1,3,2,3,63,78,54,0,0,auto,attacker,0.542,0.873,attacker
B0095,Sable Nomads,Kessari Riders,plains,clear,0,1,2,12,5,3,2,0,0,0,2,1,0,7,13,2,3,1,79,93,43,0,0,auto,attacker,0.607,0.419,defender
B0096,Mareth Imperium,Selene Dominion,hills,rain,4,5,1,1,2,2,8,8,1,1,3,4,3,0,3,6,3,5,85,82,5,0,0,auto,attacker,0.35,0.615,attacker
B0097,Orenthal League,Duskwood Clans,marsh,fog,4,0,10,10,0,1,1,0,4,10,2,3,0,1,0,3,4,5,75,61,59,0,12,auto,attacker,0.342,0.741,attacker
B0098,Mareth Imperium,Sable Nomads,marsh,fog,3,3,0,3,0,3,4,6,1,1,0,0,7,10,2,3,3,1,64,77,0,0,22,auto,attacker,0.436,0.642,attacker
B0099,Duskwood Clans,Orenthal League,plains,clear,0,4,2,4,7,3,2,1,7,1,1,7,6,2,3,0,3,5,45,80,51,0,0,auto,defender,0.852,0.465,defender
B0100,Kessari Riders,Latian Republic,hills,rain,0,4,6,0,2,9,1,3,1,6,6,2,1,4,0,0,5,5,89,57,7,1,15,auto,attacker,0.468,0.685,attacker
B0101,Duskwood Clans,Sable Nomads,river_crossing,clear,0,1,2,8,11,4,0,0,3,2,7,2,7,3,4,0,1,1,91,78,52,0,14,manual,attacker,0.84,0.455,defender
B0102,Kessari Riders,Duskwood Clans,river_crossing,rain,0,0,1,5,3,2,3,9,5,2,8,2,4,2,4,0,3,1,59,64,52,0,16,manual,defender,0.728,0.376,defender
B0103,Mareth Imperium,Duskwood Clans,forest,clear,7,3,0,0,7,0,5,2,2,2,3,0,13,2,2,4,3,2,75,59,61,0,20,auto,defender,0.498,0.714,attacker
B0104,Duskwood Clans,Vharn Confederacy,forest,clear,0,6,5,1,3,5,1,7,0,4,1,3,8,2,1,1,5,1,83,68,43,0,0,auto,attacker,0.44,0.701,attacker
B0105,Duskwood Clans,Selene Dominion,forest,rain,0,2,2,5,2,7,4,0,0,0,6,2,3,0,3,7,3,3,50,70,18,0,0,auto,attacker,0.396,0.668,attacker
B0106,Kessari Riders,Duskwood Clans,hills,clear,0,1,1,2,3,6,4,2,0,0,8,4,6,6,0,1,3,3,76,62,56,1,6,manual,defender,0.397,0.812,attacker
B0107,Selene Dominion,Duskwood Clans,plains,clear,1,3,1,6,5,0,1,6,0,4,9,1,6,1,4,1,2,1,73,68,53,0,0,auto,defender,0.665,0.328,defender
B0108,Latian Republic,Vharn Confederacy,hills,clear,2,0,0,2,0,11,2,7,3,9,2,3,0,2,1,0,5,3,67,58,8,0,17,auto,attacker,0.791,0.514,defender
B0109,Kessari Riders,Mareth Imperium,forest,clear,1,10,0,3,7,2,2,0,6,6,3,3,0,2,2,0,1,5,65,68,54,0,0,auto,attacker,0.806,0.429,defender
B0110,Sable Nomads,Kessari Riders,plains,clear,0,9,2,3,5,2,0,0,0,0,0,6,3,9,5,1,5,2,64,71,77,0,6,manual,defender,0.853,0.415,defender
B0111,Orenthal League,Latian Republic,plains,clear,1,2,0,3,7,2,2,1,4,2,3,3,0,3,4,3,2,1,63,85,58,0,16,manual,defender,0.63,0.273,defender
B0112,Sable Nomads,Latian Republic,hills,rain,1,1,0,7,8,3,1,4,9,0,7,1,4,2,0,0,1,3,90,73,50,0,0,auto,attacker,0.731,0.568,defender
B0113,Duskwood Clans,Mareth Imperium,plains,clear,1,8,0,3,11,3,1,0,12,0,1,0,0,2,9,0,4,3,88,69,13,0,0,auto,attacker,0.807,0.491,defender
B0114,Orenthal League,Mareth Imperium,forest,clear,5,4,2,6,0,2,6,0,6,5,2,1,0,0,6,0,2,1,68,61,38,0,0,auto,attacker,0.612,0.821,attacker
B0115,Mareth Imperium,Duskwood Clans,plains,clear,0,3,7,4,0,0,7,1,1,2,4,6,8,0,0,3,5,4,79,89,36,0,0,manual,attacker,0.395,0.725,attacker
B0116,Selene Dominion,Vharn Confederacy,hills,clear,0,0,7,12,0,0,0,3,2,9,2,2,3,1,1,3,3,4,63,74,7,0,24,auto,attacker,0.417,0.697,attacker
B0117,Mareth Imperium,Kessari Riders,plains,rain,1,5,2,0,0,1,10,6,1,1,0,7,4,3,6,1,2,4,75,93,17,0,23,manual,attacker,0.425,0.802,attacker
B0118,Kessari Riders,Latian Republic,river_crossing,clear,3,5,5,0,1,1,6,5,11,0,4,0,1,2,2,2,5,1,79,63,63,0,5,auto,attacker,0.354,0.744,attacker
B0119,Orenthal League,Mareth Imperium,hills,clear,2,4,0,11,0,6,2,0,12,2,3,0,1,1,3,0,5,1,57,75,44,1,0,auto,attacker,0.425,0.782,attacker
B0120,Sable Nomads,Duskwood Clans,plains,clear,0,1,0,13,3,14,0,0,0,0,0,5,8,4,0,3,5,4,64,58,61,0,0,manual,attacker,0.391,0.65,attacker
B0121,Duskwood Clans,Sable Nomads,river_crossing,fog,1,1,3,9,2,3,1,3,0,0,1,9,2,8,2,2,3,3,64,86,29,0,0,auto,attacker,0.604,0.384,defender
B0122,Vharn Confederacy,Sable Nomads,plains,rain,12,7,0,1,0,0,1,0,0,1,4,1,2,10,2,4,2,1,82,98,33,0,0,manual,defender,0.44,0.785,attacker
B0123,Mareth Imperium,Orenthal League,hills,clear,4,11,3,2,2,0,5,0,5,13,1,0,0,0,1,2,3,5,98,56,24,1,0,manual,attacker,0.51,0.814,attacker
B0124,Orenthal League,Mareth Imperium,marsh,clear,2,9,1,5,2,4,4,0,1,0,3,0,3,15,6,3,3,4,74,68,23,0,24,auto,defender,0.416,0.672,attacker
B0125,Selene Dominion,Vharn Confederacy,marsh,clear,0,6,0,10,2,1,0,9,1,5,2,6,2,0,3,0,1,5,58,68,10,0,0,auto,attacker,0.459,0.686,attacker
B0126,Vharn Confederacy,Mareth Imperium,plains,clear,0,12,4,1,0,0,5,1,10,0,1,2,4,4,4,2,2,3,54,57,46,0,0,auto,defender,0.457,0.91,attacker
B0127,Mareth Imperium,Selene Dominion,plains,rain,7,1,1,0,0,0,5,5,1,5,3,1,5,0,4,5,3,2,62,66,43,0,0,auto,defender,0.812,0.484,defender
B0128,Mareth Imperium,Selene Dominion,forest,fog,3,6,1,0,5,4,1,0,4,4,2,4,3,0,6,0,4,2,83,53,20,0,7,auto,defender,0.527,0.713,attacker
B0129,Latian Republic,Vharn Confederacy,hills,clear,10,9,1,1,0,0,5,2,0,17,5,1,0,1,0,2,2,1,66,67,34,0,25,auto,attacker,0.722,0.401,defender
B0130,Vharn Confederacy,Kessari Riders,plains,clear,5,4,6,3,0,0,2,3,1,3,1,0,4,6,3,1,1,2,79,69,33,0,22,auto,attacker,0.38,0.883,attacker
B0131,Mareth Imperium,Latian Republic,plains,clear,6,0,1,0,1,1,7,1,3,4,1,6,1,1,8,0,3,4,82,44,28,0,9,auto,defender,0.731,0.462,defender
B0132,Vharn Confederacy,Orenthal League,plains,clear,2,12,4,0,1,2,2,0,0,7,4,11,1,1,0,0,5,5,71,70,68,0,14,auto,attacker,0.812,0.458,defender
B0133,Sable Nomads,Kessari Riders,plains,clear,1,0,1,4,13,3,0,3,0,1,0,1,0,14,0,3,1,5,74,92,48,0,0,auto,attacker,0.577,0.294,defender
B0134,Selene Dominion,Kessari Riders,hills,clear,0,8,0,5,1,1,0,3,1,0,0,0,6,9,4,1,2,1,63,73,66,0,14,auto,defender,0.411,0.604,attacker
B0135,Vharn Confederacy,Selene Dominion,forest,rain,5,0,0,13,7,1,0,0,2,1,3,8,1,0,4,4,3,4,50,59,20,1,8,manual,attacker,0.83,0.472,defender
B0136,Mareth Imperium,Kessari Riders,forest,clear,1,1,2,0,0,3,15,1,1,8,4,0,7,4,1,0,1,1,80,68,47,1,6,manual,defender,0.752,0.372,defender
B0137,Kessari Riders,Mareth Imperium,marsh,clear,4,1,0,0,8,2,9,1,8,1,9,0,3,1,1,1,4,3,89,49,27,0,14,auto,attacker,0.806,0.351,defender
B0138,Orenthal League,Vharn Confederacy,plains,clear,5,1,3,4,5,4,0,1,1,12,1,0,4,0,0,3,4,5,72,65,8,0,12,manual,attacker,0.384,0.809,attacker
B0139,Duskwood Clans,Latian Republic,marsh,clear,3,0,1,2,11,6,0,0,6,5,7,1,0,0,0,2,5,4,75,44,22,1,9,manual,attacker,0.443,0.766,attacker
B0140,Orenthal League,Mareth Imperium,plains,rain,5,2,4,3,0,2,0,0,0,2,2,11,0,2,3,2,3,1,98,64,48,0,0,manual,defender,0.699,0.488,defender
B0141,Kessari Riders,Mareth Imperium,plains,clear,1,3,0,7,2,5,4,0,1,9,0,0,0,4,4,1,5,5,64,81,80,1,24,auto,attacker,0.635,0.401,defender
B0142,Selene Dominion,Orenthal League,forest,rain,0,0,1,7,2,1,1,4,15,6,1,2,0,2,0,2,2,4,40,48,59,0,0,manual,defender,0.703,0.295,defender
B0143,Selene Dominion,Mareth Imperium,river_crossing,rain,0,4,4,9,4,2,1,1,4,9,1,5,1,0,8,0,5,1,71,48,44,0,0,auto,defender,0.743,0.464,defender
B0144,Selene Dominion,Mareth Imperium,river_crossing,clear,5,2,0,5,2,0,1,6,3,7,0,4,1,5,3,0,2,5,78,80,99,1,0,auto,defender,0.709,0.269,defender
B0145,Mareth Imperium,Selene Dominion,forest,clear,11,1,2,0,0,0,13,0,3,4,2,4,0,1,1,10,2,4,61,65,25,1,17,auto,attacker,0.497,0.826,attacker
B0146,Orenthal League,Latian Republic,forest,rain,4,5,2,0,2,11,0,1,7,2,2,0,0,7,1,2,5,3,60,70,18,1,0,auto,attacker,0.511,0.978,attacker
