unit_id,faction,unit_name,advertised_role,description
U014,Latian Republic,High Heavy Horse,Cavalry,These troops are drilled in the republican legions. On the field they rely on break the enemy and drive deep. Commanders value them for thunderous charge and shatter the formation. They are seasoned veterans.
U015,Latian Republic,Golden Skirmishers,Skirmisher,They are the backbone of many campaigns. On the field they rely on nimble and javelins. These troops are citizen-soldiers of the Latian state. Commanders value them for throwing spears and hit and run.
U016,Latian Republic,Silent Guard,Line Infantry,They are recruited each season. On the field they rely on swordsmen and versatile. Commanders value them for flanking maneuvers and duelists. These troops are drilled in the republican legions.
U017,Latian Republic,Silent Phalanx,Anti-Cavalry,They are a mainstay of the roster. Commanders value them for anti-cavalry stakes. On the field they rely on lowered pikes and repel the charge. These troops are drilled in the republican legions.
U018,Latian Republic,Golden Guard,Cavalry,Commanders value them for cut through the line and aggressive blades. On the field they rely on press the advantage and versatile. They are a mainstay of the roster. These troops are citizen-soldiers of the Latian state.
U019,Latian Republic,High Marksmen,Missile,On the field they rely on softening the enemy and arcing arrows. These troops are drilled in the republican legions. They are seasoned veterans. Commanders value them for draw and release and picking off.
U020,Latian Republic,Old Blades,Line Infantry,Commanders value them for close-quarters brawl and opportunistic strikes. On the field they rely on flanking maneuvers and aggressive blades. These troops are citizen-soldiers of the Latian state. They are seasoned veterans.
U021,Latian Republic,Old Longbows,Missile,They are seasoned veterans. These troops are drilled in the republican legions. Commanders value them for ranged fire. On the field they rely on softening the enemy and picking off.
U022,Latian Republic,Old Lances of Foot,Anti-Cavalry,They are a mainstay of the roster. These troops are drilled in the republican legions. Commanders value them for set to receive and wall of points. On the field they rely on braced spears and phalanx.
U023,Latian Republic,Silent Wardens,Line Infantry,Commanders value them for unbreakable ranks and stand and hold. On the field they rely on the anvil of the army and absorb the charge. They are recruited each season. These troops are drilled in the republican legions.
U024,Latian Republic,Free Legionaries,Line Infantry,Commanders value them for hold the line. These troops are drilled in the republican legions. On the field they rely on absorb the charge and close order. They are fielded in most engagements.
U025,Latian Republic,Golden Pikes,Anti-Cavalry,On the field they rely on disciplined block and anti-cavalry stakes. They are seasoned veterans. Commanders value them for phalanx and wall of points. These troops are drilled in the republican legions.
U026,Latian Republic,Storm Phalanx,Anti-Cavalry,They are seasoned veterans. Commanders value them for anti-cavalry stakes and long shafts. On the field they rely on braced spears and disciplined block. These troops are drilled in the republican legions.
U027,Latian Republic,Golden Legionaries,Line Infantry,Commanders value them for grinding attrition and shield wall. They are well regarded by commanders. On the field they rely on absorb the charge and the anvil of the army. These troops are citizen-soldiers of the Latian state.
U028,Latian Republic,Silent Swords,Line Infantry,They are well regarded by commanders. Commanders value them for press the advantage and swordsmen. On the field they rely on duelists and versatile. These troops are drilled in the republican legions.
U029,Latian Republic,Golden Onagers,Siege,On the field they rely on bombardment and hurled stones. These troops are citizen-soldiers of the Latian state. They are the backbone of many campaigns. Commanders value them for onager.
U030,Selene Dominion,Iron Longbows,Missile,Commanders value them for massed volley and ranged fire. They are recruited each season. These troops are levies of the Selene coast. On the field they rely on picking off and arcing arrows.
U031,Selene Dominion,Gray Ballistae,Siege,They are the backbone of many campaigns. Commanders value them for onager and siege engine. These troops are trained under the moon-priests. On the field they rely on bombardment and shatter walls.
U032,Selene Dominion,Silent Skirmishers,Skirmisher,On the field they rely on javelins and screen the advance. Commanders value them for dart in and out. These troops are levies of the Selene coast. They are the backbone of many campaigns.
U033,Selene Dominion,High Guard,Line Infantry,They are well regarded by commanders. These troops are levies of the Selene coast. On the field they rely on aggressive blades and close-quarters brawl. Commanders value them for quick footwork.
U034,Selene Dominion,Gray Archers,Missile,On the field they rely on picking off and draw and release. These troops are trained under the moon-priests. Commanders value them for field of arrows. They are seasoned veterans.
U035,Selene Dominion,High Phalanx,Anti-Cavalry,Commanders value them for braced spears and hedge of steel. They are seasoned veterans. These troops are levies of the Selene coast. On the field they rely on wall of points and set to receive.
U036,Selene Dominion,Storm Onagers,Siege,These troops are trained under the moon-priests. On the field they rely on long-range engine and siege engine. Commanders value them for ballista bolts. They are well regarded by commanders.
U037,Selene Dominion,Gray Ballistae,Siege,On the field they rely on long-range engine and shatter walls. Commanders value them for bombardment and hurled stones. They are well regarded by commanders. These troops are trained under the moon-priests.
U038,Selene Dominion,Storm Archers,Missile,On the field they rely on massed volley and loose at range. These troops are levies of the Selene coast. Commanders value them for field of arrows. They are the backbone of many campaigns.
U039,Selene Dominion,Free Phalanx,Anti-Cavalry,Commanders value them for phalanx and wall of points. These troops are trained under the moon-priests. They are a mainstay of the roster. On the field they rely on long shafts and braced spears.
U040,Selene Dominion,Iron Engines,Siege,They are recruited each season. These troops are levies of the Selene coast. On the field they rely on hurled stones and ranging shots. Commanders value them for crew-served and bombardment.
U041,Selene Dominion,Golden Onagers,Siege,They are a mainstay of the roster. On the field they rely on crew-served and ranging shots. Commanders value them for shatter walls and hurled stones. These troops are levies of the Selene coast.
U042,Selene Dominion,Iron Marksmen,Missile,On the field they rely on softening the enemy and loose at range. These troops are levies of the Selene coast. Commanders value them for arcing arrows. They are well regarded by commanders.
U043,Selene Dominion,Storm Ballistae,Siege,Commanders value them for battering volleys and crew-served. They are recruited each season. On the field they rely on ranging shots and hurled stones. These troops are trained under the moon-priests.
U044,Selene Dominion,Old Longbows,Siege,Commanders value them for picking off. These troops are trained under the moon-priests. On the field they rely on rain of shafts and arcing arrows. They are recruited each season.
U045,Selene Dominion,Storm Swords,Line Infantry,They are fielded in most engagements. On the field they rely on duelists and quick footwork. Commanders value them for swordsmen. These troops are levies of the Selene coast.
U046,Selene Dominion,Red Skirmishers,Skirmisher,They are recruited each season. On the field they rely on throwing spears and peppering the flanks. Commanders value them for loose formation. These troops are trained under the moon-priests.
U047,Selene Dominion,Iron Batteries,Siege,These troops are trained under the moon-priests. They are the backbone of many campaigns. Commanders value them for onager. On the field they rely on ranging shots and siege engine.
U048,Selene Dominion,Gray Spears,Anti-Cavalry,Commanders value them for lowered pikes. They are seasoned veterans. On the field they rely on repel the charge and phalanx. These troops are levies of the Selene coast.
U049,Selene Dominion,Iron Outriders,Cavalry,They are seasoned veterans. These troops are trained under the moon-priests. Commanders value them for encircle the flanks. On the field they rely on loose skirmishing horse and run down stragglers.
U050,Selene Dominion,Gray Lances of Foot,Anti-Cavalry,They are well regarded by commanders. Commanders value them for repel the charge. These troops are trained under the moon-priests. On the field they rely on anti-cavalry stakes and phalanx.
U051,Selene Dominion,Red Javelins,Skirmisher,These troops are trained under the moon-priests. They are fielded in most engagements. Commanders value them for peppering the flanks. On the field they rely on nimble and javelins.
U052,Selene Dominion,Silent Marksmen,Missile,On the field they rely on draw and release and rain of shafts. They are recruited each season. Commanders value them for picking off and loose at range. These troops are trained under the moon-priests.
U053,Selene Dominion,Gray Spears,Anti-Cavalry,Commanders value them for phalanx. These troops are levies of the Selene coast. They are fielded in most engagements. On the field they rely on hedge of steel and disciplined block.
U054,Selene Dominion,Old Bows,Missile,They are the backbone of many campaigns. On the field they rely on ranged fire and quivers emptied. These troops are trained under the moon-priests. Commanders value them for softening the enemy and draw and release.
U055,Selene Dominion,Red Engines,Siege,On the field they rely on shatter walls and siege engine. These troops are levies of the Selene coast. Commanders value them for ranging shots. They are a mainstay of the roster.
U056,Selene Dominion,Storm Longbows,Missile,They are seasoned veterans. On the field they rely on picking off and field of arrows. These troops are trained under the moon-priests. Commanders value them for rain of shafts and ranged fire.
U057,Selene Dominion,Iron Onagers,Siege,On the field they rely on hurled stones and battering volleys. These troops are trained under the moon-priests. Commanders value them for onager and shatter walls. They are seasoned veterans.
U058,Selene Dominion,Golden Lances of Foot,Anti-Cavalry,These troops are trained under the moon-priests. On the field they rely on disciplined block and set to receive. They are the backbone of many campaigns. Commanders value them for lowered pikes and long shafts.
U059,Selene Dominion,Old Runners,Skirmisher,They are a mainstay of the roster. Commanders value them for loose formation and javelins. These troops are trained under the moon-priests. On the field they rely on dart in and out and hit and run.
U060,Vharn Confederacy,Gray Spears,Anti-Cavalry,They are recruited each season. Commanders value them for anti-cavalry stakes. These troops are clansmen of the Vharn highlands. On the field they rely on phalanx and braced spears.
U061,Vharn Confederacy,Gray Archers,Missile,On the field they rely on arcing arrows and field of arrows. These troops are sworn to the confederate banners. They are a mainstay of the roster. Commanders value them for ranged fire and massed volley.
U062,Vharn Confederacy,High Runners,Skirmisher,They are seasoned veterans. These troops are sworn to the confederate banners. Commanders value them for peppering the flanks. On the field they rely on screen the advance and nimble.
U063,Vharn Confederacy,Red Spears,Anti-Cavalry,They are well regarded by commanders. Commanders value them for anti-cavalry stakes and braced spears. On the field they rely on lowered pikes and long shafts. These troops are clansmen of the Vharn highlands.
U064,Vharn Confederacy,Red Skirmishers,Skirmisher,These troops are clansmen of the Vharn highlands. They are well regarded by commanders. On the field they rely on nimble and peppering the flanks. Commanders value them for loose formation.
U065,Vharn Confederacy,High Lances of Foot,Siege,On the field they rely on hedge of steel and disciplined block. These troops are sworn to the confederate banners. They are well regarded by commanders. Commanders value them for repel the charge and anti-cavalry stakes.
U066,Vharn Confederacy,Old Wardens,Siege,Commanders value them for absorb the charge and shield wall. These troops are clansmen of the Vharn highlands. On the field they rely on close order and stand and hold. They are well regarded by commanders.
U067,Vharn Confederacy,High Batteries,Siege,On the field they rely on hurled stones and ballista bolts. They are seasoned veterans. Commanders value them for bombardment and shatter walls. These troops are clansmen of the Vharn highlands.
U068,Vharn Confederacy,Gray Javelins,Skirmisher,On the field they rely on throwing spears and loose formation. They are the backbone of many campaigns. These troops are sworn to the confederate banners. Commanders value them for nimble and peppering the flanks.
U069,Vharn Confederacy,Old Wardens,Line Infantry,Commanders value them for unbreakable ranks and hold the line. They are recruited each season. On the field they rely on close order and absorb the charge. These troops are sworn to the confederate banners.
U070,Vharn Confederacy,Iron Bulwarks,Line Infantry,On the field they rely on the anvil of the army and heavy plate. Commanders value them for steadfast. They are recruited each season. These troops are sworn to the confederate banners.
U071,Vharn Confederacy,Iron Archers,Missile,Commanders value them for softening the enemy and rain of shafts. On the field they rely on quivers emptied and loose at range. They are seasoned veterans. These troops are sworn to the confederate banners.
U072,Vharn Confederacy,Red Cutters,Line Infantry,These troops are sworn to the confederate banners. On the field they rely on versatile and press the advantage. They are the backbone of many campaigns. Commanders value them for swordsmen.
U073,Vharn Confederacy,Red Bulwarks,Line Infantry,Commanders value them for unbreakable ranks and shield wall. They are recruited each season. These troops are sworn to the confederate banners. On the field they rely on close order and absorb the charge.
U074,Vharn Confederacy,Red Wardens,Line Infantry,They are well regarded by commanders. Commanders value them for the anvil of the army. These troops are sworn to the confederate banners. On the field they rely on stand and hold and grinding attrition.
U075,Vharn Confederacy,Ashen Bows,Missile,On the field they rely on picking off and loose at range. Commanders value them for massed volley and rain of shafts. These troops are clansmen of the Vharn highlands. They are fielded in most engagements.
U076,Vharn Confederacy,Free Knights,Cavalry,They are well regarded by commanders. Commanders value them for break the enemy and devastating impact. These troops are sworn to the confederate banners. On the field they rely on drive deep and crash into the line.
U077,Vharn Confederacy,Storm Spears,Anti-Cavalry,They are fielded in most engagements. On the field they rely on hedge of steel and disciplined block. Commanders value them for lowered pikes. These troops are clansmen of the Vharn highlands.
U078,Vharn Confederacy,Storm Chargers,Cavalry,These troops are sworn to the confederate banners. Commanders value them for devastating impact and overrun. On the field they rely on break the enemy and hammer blow. They are recruited each season.
U079,Vharn Confederacy,Free Guard,Line Infantry,These troops are clansmen of the Vharn highlands. Commanders value them for quick footwork. On the field they rely on close-quarters brawl and duelists. They are well regarded by commanders.
U080,Vharn Confederacy,Iron Batteries,Siege,These troops are sworn to the confederate banners. Commanders value them for ballista bolts. They are a mainstay of the roster. On the field they rely on crew-served and shatter walls.
U081,Vharn Confederacy,Storm Phalanx,Anti-Cavalry,Commanders value them for set to receive and wall of points. These troops are sworn to the confederate banners. On the field they rely on long shafts and lowered pikes. They are the backbone of many campaigns.
U082,Vharn Confederacy,High Knights,Cavalry,Commanders value them for overrun and hammer blow. These troops are clansmen of the Vharn highlands. On the field they rely on armored heavy horse and break the enemy. They are recruited each season.
U083,Vharn Confederacy,High Pikes,Anti-Cavalry,These troops are clansmen of the Vharn highlands. Commanders value them for disciplined block and phalanx. They are the backbone of many campaigns. On the field they rely on wall of points and braced spears.
U084,Vharn Confederacy,Golden Bulwarks,Line Infantry,These troops are clansmen of the Vharn highlands. On the field they rely on unbreakable ranks and stand and hold. Commanders value them for absorb the charge and close order. They are fielded in most engagements.
U085,Vharn Confederacy,Iron Archers,Missile,Commanders value them for massed volley. They are seasoned veterans. On the field they rely on draw and release and field of arrows. These troops are sworn to the confederate banners.
U086,Vharn Confederacy,Free Pikes,Anti-Cavalry,These troops are sworn to the confederate banners. On the field they rely on braced spears and lowered pikes. Commanders value them for repel the charge and anti-cavalry stakes. They are seasoned veterans.
U087,Vharn Confederacy,Gray Phalanx,Anti-Cavalry,They are seasoned veterans. Commanders value them for anti-cavalry stakes and long shafts. On the field they rely on disciplined block and lowered pikes. These troops are clansmen of the Vharn highlands.
U088,Vharn Confederacy,Free Shields,Line Infantry,On the field they rely on absorb the charge and shield wall. These troops are clansmen of the Vharn highlands. Commanders value them for the anvil of the army and steadfast. They are the backbone of many campaigns.
U089,Vharn Confederacy,High Batteries,Anti-Cavalry,They are the backbone of many campaigns. Commanders value them for siege engine and onager. These troops are sworn to the confederate banners. On the field they rely on bombardment and crew-served.
U090,Kessari Riders,High Chargers,Cavalry,On the field they rely on crash into the line and devastating impact. They are the backbone of many campaigns. Commanders value them for overrun and hammer blow. These troops are raised on the Kessari plains.
U091,Kessari Riders,Free Shields,Line Infantry,Commanders value them for stand and hold and unbreakable ranks. These troops are raised on the Kessari plains. On the field they rely on close order and hold the line. They are seasoned veterans.
U092,Kessari Riders,Storm Swords,Line Infantry,On the field they rely on duelists and cut through the line. These troops are steppe-born horse lords. Commanders value them for swordsmen and aggressive blades. They are recruited each season.
U093,Kessari Riders,Red Riders,Cavalry,On the field they rely on run down stragglers and chase the routed. These troops are raised on the Kessari plains. They are seasoned veterans. Commanders value them for encircle the flanks and outriders.
U094,Kessari Riders,Golden Marksmen,Missile,On the field they rely on softening the enemy and field of arrows. They are seasoned veterans. These troops are raised on the Kessari plains. Commanders value them for picking off.
U095,Kessari Riders,Golden Javelins,Skirmisher,Commanders value them for javelins and loose formation. On the field they rely on light and fast and dart in and out. They are the backbone of many campaigns. These troops are steppe-born horse lords.
U096,Kessari Riders,High Slingers,Skirmisher,Commanders value them for loose formation and screen the advance. They are recruited each season. On the field they rely on nimble and javelins. These troops are raised on the Kessari plains.
U097,Kessari Riders,Free Lancers,Line Infantry,Commanders value them for couched lances. They are seasoned veterans. These troops are steppe-born horse lords. On the field they rely on hammer blow and armored heavy horse.
U098,Kessari Riders,Gray Riders,Cavalry,Commanders value them for outriders and loose skirmishing horse. These troops are steppe-born horse lords. On the field they rely on encircle the flanks and wheel and retreat. They are well regarded by commanders.
U099,Kessari Riders,Red Knights,Cavalry,They are recruited each season. Commanders value them for drive deep. These troops are raised on the Kessari plains. On the field they rely on armored heavy horse and couched lances.
U100,Kessari Riders,Silent Onagers,Line Infantry,Commanders value them for ballista bolts and crew-served. On the field they rely on battering volleys and hurled stones. These troops are steppe-born horse lords. They are seasoned veterans.
U101,Kessari Riders,Gray Lancers,Cavalry,They are seasoned veterans. Commanders value them for break the enemy and shatter the formation. On the field they rely on armored heavy horse and thunderous charge. These troops are steppe-born horse lords.
U102,Kessari Riders,Silent Chargers,Cavalry,These troops are raised on the Kessari plains. They are the backbone of many campaigns. On the field they rely on armored heavy horse and overrun. Commanders value them for break the enemy and couched lances.
U103,Kessari Riders,Iron Pikes,Anti-Cavalry,On the field they rely on disciplined block and hedge of steel. They are recruited each season. Commanders value them for set to receive. These troops are raised on the Kessari plains.
U104,Kessari Riders,Free Spears,Anti-Cavalry,Commanders value them for anti-cavalry stakes and phalanx. They are a mainstay of the roster. On the field they rely on wall of points and hedge of steel. These troops are raised on the Kessari plains.
U105,Kessari Riders,Free Lancers,Cavalry,These troops are steppe-born horse lords. They are seasoned veterans. Commanders value them for armored heavy horse. On the field they rely on shatter the formation and break the enemy.
U106,Kessari Riders,Iron Heavy Horse,Cavalry,These troops are raised on the Kessari plains. On the field they rely on crash into the line and shatter the formation. Commanders value them for drive deep. They are a mainstay of the roster.
U107,Kessari Riders,Iron Lancers,Cavalry,They are a mainstay of the roster. These troops are raised on the Kessari plains. On the field they rely on overrun and thunderous charge. Commanders value them for hammer blow.
U108,Kessari Riders,Storm Archers,Missile,These troops are raised on the Kessari plains. Commanders value them for massed volley. On the field they rely on field of arrows and picking off. They are well regarded by commanders.
U109,Kessari Riders,High Legionaries,Line Infantry,These troops are steppe-born horse lords. Commanders value them for steadfast. On the field they rely on shield wall and grinding attrition. They are fielded in most engagements.
U110,Kessari Riders,Free Wardens,Line Infantry,On the field they rely on stand and hold and steadfast. These troops are raised on the Kessari plains. Commanders value them for grinding attrition. They are a mainstay of the roster.
U111,Kessari Riders,Iron Skirmishers,Skirmisher,These troops are raised on the Kessari plains. Commanders value them for light and fast. On the field they rely on loose formation and javelins. They are the backbone of many campaigns.
U112,Kessari Riders,Ashen Scouts,Missile,They are well regarded by commanders. Commanders value them for harassing horse and encircle the flanks. On the field they rely on hit-and-run riders and swift mounts. These troops are raised on the Kessari plains.
U113,Kessari Riders,Free Spears,Anti-Cavalry,On the field they rely on disciplined block and set to receive. Commanders value them for braced spears and anti-cavalry stakes. They are seasoned veterans. These troops are steppe-born horse lords.
U114,Kessari Riders,Storm Blades,Line Infantry,Commanders value them for close-quarters brawl and quick footwork. On the field they rely on duelists and cut through the line. These troops are raised on the Kessari plains. They are fielded in most engagements.
U115,Kessari Riders,Storm Lances of Foot,Anti-Cavalry,On the field they rely on lowered pikes and set to receive. Commanders value them for disciplined block and hedge of steel. These troops are raised on the Kessari plains. They are the backbone of many campaigns.
U116,Kessari Riders,Gray Batteries,Siege,Commanders value them for crew-served and bombardment. On the field they rely on ballista bolts and onager. These troops are steppe-born horse lords. They are well regarded by commanders.
U117,Kessari Riders,High Runners,Skirmisher,These troops are raised on the Kessari plains. Commanders value them for hit and run and harass. They are recruited each season. On the field they rely on throwing spears and loose formation.
U118,Kessari Riders,Ashen Slingers,Skirmisher,Commanders value them for loose formation and nimble. They are a mainstay of the roster. On the field they rely on harass and hit and run. These troops are steppe-born horse lords.
U119,Kessari Riders,Ashen Bows,Missile,On the field they rely on rain of shafts and picking off. These troops are steppe-born horse lords. They are fielded in most engagements. Commanders value them for massed volley and loose at range.
U120,Orenthal League,Storm Legionaries,Line Infantry,On the field they rely on absorb the charge and grinding attrition. These troops are mustered from the league cities. Commanders value them for stand and hold. They are well regarded by commanders.
U121,Orenthal League,Old Lances of Foot,Anti-Cavalry,On the field they rely on repel the charge and anti-cavalry stakes. Commanders value them for phalanx and long shafts. They are fielded in most engagements. These troops are professional companies of Orenthal.
U122,Orenthal League,Old Outriders,Cavalry,On the field they rely on swift mounts and encircle the flanks. They are a mainstay of the roster. Commanders value them for chase the routed. These troops are professional companies of Orenthal.
U123,Orenthal League,High Marksmen,Missile,They are the backbone of many campaigns. Commanders value them for ranged fire. On the field they rely on rain of shafts and loose at range. These troops are professional companies of Orenthal.
U124,Orenthal League,Storm Javelins,Siege,On the field they rely on screen the advance and light and fast. They are well regarded by commanders. Commanders value them for javelins. These troops are professional companies of Orenthal.
U125,Orenthal League,High Javelins,Skirmisher,Commanders value them for light and fast and dart in and out. On the field they rely on nimble and javelins. These troops are mustered from the league cities. They are well regarded by commanders.
U126,Orenthal League,Red Engines,Siege,These troops are mustered from the league cities. On the field they rely on bombardment and battering volleys. Commanders value them for crew-served and onager. They are a mainstay of the roster.
U127,Orenthal League,Free Longbows,Missile,These troops are mustered from the league cities. On the field they rely on arcing arrows and ranged fire. They are the backbone of many campaigns. Commanders value them for rain of shafts.
U128,Orenthal League,Golden Chargers,Cavalry,They are the backbone of many campaigns. On the field they rely on drive deep and hammer blow. Commanders value them for devastating impact. These troops are professional companies of Orenthal.
U129,Orenthal League,High Slingers,Skirmisher,These troops are mustered from the league cities. Commanders value them for nimble. On the field they rely on harass and loose formation. They are fielded in most engagements.
U130,Orenthal League,Red Lancers,Cavalry,Commanders value them for overrun. They are recruited each season. On the field they rely on crash into the line and couched lances. These troops are professional companies of Orenthal.
U131,Orenthal League,High Marksmen,Missile,On the field they rely on quivers emptied and picking off. These troops are mustered from the league cities. Commanders value them for loose at range. They are well regarded by commanders.
U132,Orenthal League,Gray Runners,Skirmisher,On the field they rely on javelins and nimble. They are fielded in most engagements. These troops are mustered from the league cities. Commanders value them for hit and run.
U133,Orenthal League,Ashen Bulwarks,Line Infantry,On the field they rely on stand and hold and steadfast. These troops are mustered from the league cities. Commanders value them for absorb the charge and the anvil of the army. They are recruited each season.
U134,Orenthal League,Ashen Longbows,Missile,They are recruited each season. On the field they rely on massed volley and draw and release. Commanders value them for field of arrows and quivers emptied. These troops are mustered from the league cities.
U135,Orenthal League,Red Longbows,Missile,They are recruited each season. Commanders value them for quivers emptied. These troops are professional companies of Orenthal. On the field they rely on field of arrows and ranged fire.
U136,Orenthal League,Old Lancers,Missile,These troops are professional companies of Orenthal. Commanders value them for thunderous charge and couched lances. They are fielded in most engagements. On the field they rely on armored heavy horse and drive deep.
U137,Orenthal League,Red Archers,Missile,Commanders value them for massed volley. These troops are professional companies of Orenthal. They are the backbone of many campaigns. On the field they rely on field of arrows and ranged fire.
U138,Orenthal League,High Riders,Cavalry,Commanders value them for chase the routed and swift mounts. These troops are professional companies of Orenthal. On the field they rely on hit-and-run riders and loose skirmishing horse. They are fielded in most engagements.
U139,Orenthal League,Ashen Phalanx,Anti-Cavalry,On the field they rely on long shafts and wall of points. Commanders value them for phalanx. These troops are professional companies of Orenthal. They are fielded in most engagements.
U140,Orenthal League,Storm Lances of Foot,Skirmisher,They are the backbone of many campaigns. These troops are professional companies of Orenthal. On the field they rely on repel the charge and hedge of steel. Commanders value them for disciplined block and long shafts.
U141,Orenthal League,Golden Scouts,Cavalry,On the field they rely on hit-and-run riders and scouting screen. These troops are mustered from the league cities. Commanders value them for swift mounts and loose skirmishing horse. They are seasoned veterans.
U142,Orenthal League,Iron Pikes,Anti-Cavalry,These troops are professional companies of Orenthal. They are the backbone of many campaigns. Commanders value them for hedge of steel. On the field they rely on repel the charge and set to receive.
U143,Orenthal League,Old Pikes,Anti-Cavalry,These troops are professional companies of Orenthal. Commanders value them for anti-cavalry stakes. On the field they rely on set to receive and braced spears. They are seasoned veterans.
U144,Orenthal League,Golden Guard,Missile,Commanders value them for aggressive blades and opportunistic strikes. They are well regarded by commanders. On the field they rely on flanking maneuvers and versatile. These troops are professional companies of Orenthal.
U145,Orenthal League,High Chargers,Cavalry,They are fielded in most engagements. Commanders value them for overrun and drive deep. On the field they rely on armored heavy horse and hammer blow. These troops are professional companies of Orenthal.
U146,Orenthal League,Ashen Spears,Anti-Cavalry,On the field they rely on braced spears and disciplined block. They are fielded in most engagements. These troops are professional companies of Orenthal. Commanders value them for repel the charge.
U147,Orenthal League,Golden Cutters,Line Infantry,These troops are mustered from the league cities. On the field they rely on opportunistic strikes and aggressive blades. Commanders value them for quick footwork. They are fielded in most engagements.
U148,Orenthal League,Iron Longbows,Missile,These troops are professional companies of Orenthal. They are a mainstay of the roster. Commanders value them for ranged fire. On the field they rely on arcing arrows and picking off.
U149,Orenthal League,Silent Wardens,Line Infantry,On the field they rely on close order and stand and hold. Commanders value them for steadfast. These troops are professional companies of Orenthal. They are the backbone of many campaigns.
U150,Duskwood Clans,Gray Marksmen,Skirmisher,On the field they rely on massed volley and picking off. They are a mainstay of the roster. Commanders value them for rain of shafts and loose at range. These troops are forest-wise irregulars.
U151,Duskwood Clans,Iron Legionaries,Line Infantry,These troops are forest-wise irregulars. On the field they rely on hold the line and grinding attrition. Commanders value them for heavy plate and the anvil of the army. They are well regarded by commanders.
U152,Duskwood Clans,Red Swords,Line Infantry,Commanders value them for versatile and cut through the line. They are seasoned veterans. These troops are forest-wise irregulars. On the field they rely on duelists and aggressive blades.
U153,Duskwood Clans,High Skirmishers,Skirmisher,These troops are forest-wise irregulars. They are the backbone of many campaigns. Commanders value them for javelins and loose formation. On the field they rely on peppering the flanks and harass.
U154,Duskwood Clans,Gray Pikes,Anti-Cavalry,Commanders value them for anti-cavalry stakes and disciplined block. On the field they rely on phalanx and repel the charge. These troops are hunters of the Duskwood. They are fielded in most engagements.
U155,Duskwood Clans,Silent Guard,Line Infantry,They are fielded in most engagements. On the field they rely on cut through the line and versatile. Commanders value them for duelists and aggressive blades. These troops are hunters of the Duskwood.
U156,Duskwood Clans,High Marksmen,Missile,On the field they rely on softening the enemy and rain of shafts. These troops are hunters of the Duskwood. Commanders value them for quivers emptied. They are a mainstay of the roster.
U157,Duskwood Clans,Free Javelins,Skirmisher,They are recruited each season. Commanders value them for javelins and hit and run. These troops are forest-wise irregulars. On the field they rely on harass and loose formation.
U158,Duskwood Clans,Iron Hussars,Cavalry,They are a mainstay of the roster. Commanders value them for hit-and-run riders and run down stragglers. On the field they rely on harassing horse and chase the routed. These troops are forest-wise irregulars.
